,source_id,obsid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,z,z_err,type,TEFF_BT,TEFF_BT_ERR,TEFF_AP,TEFF_AP_ERR,M_H_AP,M_H_AP_ERR,ALPHA_AP,ALPHA_ERR,KOI,KIC,Teff,ETeff,eTeff,Fe/H,e_Fe/H,M/H,e_M/H,SpType,Mstar,e_Mstar,Rstar,e_Rstar,Dis,Fe/H-T,e_Fe/H-T,Fe/H-M,e_Fe/H-M,M/H-M,e_M/H-M,solution_id,designation,m_source_id,random_index,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,kepid,ra_kic,dec_kic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_ang_dist
0,2086439488284337536,354606104,298.25812,47.604939,1.42,25.95,77.01,133.95,114.57,-7.573e-05,5.81e-06,-9999.0,3885.1179758180438,36.21093364513533,3950.3949010358388,37.08117962343869,-0.18893222550325345,0.0920085384571315,-0.017332812930194903,3.319463442038714e-05,251,10489206,3811,45,78,-0.06,0.12,-0.05,0.12,M1V,0.53,0.03,0.50,0.03,79,-0.01,0.13,-0.06,0.14,-0.13,0.14,1635721458409799680,b'Gaia DR2 2086439488284337536',2086439488284337536,1370035130,2015.5,298.2581101054082,0.024347276520851144,47.60500305088214,0.028965461159476596,5.424901913906124,0.02905247291655044,186.72772,0.6594583826854539,0.053556790564021774,10.61037708386401,0.06262968950020542,-0.15808606,-0.17902696,0.14273508,-0.19701955,0.27057725,-0.24855857,0.25544998,-0.245416,-0.043410715,-0.059811637,195,0,190,5,4.066813,273.90378,0.14505874925001933,3.1318890030208983,31,False,17.923187,1.4110445750317382,0.006420132167806862,-0.040246267,22,15,0.06884002,0,27,False,215,23352.13411434438,10.673355715120357,2187.8906,14.7675495,25,6886.2370068911005,27.402917394116834,251.29576,15.7564335,23,24491.735185596473,49.5557554437585,494.22586,13.7893715,1.3436875,1,1.967062,0.988884,0.978178,,,0,,,,b'NOT_AVAILABLE',81.5929817863897,10.219153962520148,321.80912076839815,66.03690509362052,100002,4060.7932,3795.0925,4342.075,0.4243,0.0149,0.6127,0.219,0.0069,0.3857,-9223372036854775808,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2086439488284337536',b' ',10489206,298.25812,47.604939,183.364714587261,182.385702953262,184.354104161502,1449.39971192536,1.0,1.0,b'2MASS J19530194+4736178',14.752,3808,76.0,-84.0,b'SPE70',4.754,0.036,-0.036,b'SPE60',-0.06,0.15,-0.15,b'SPE70',0.508,0.037,-0.042,0.534,0.035,-0.042,b'DSEP',2,2,2,12.484,11.869,11.682,b'conf',0.0744609067225595
1,2085482775729637376,160815233,298.7361251,46.4986361,0.56,2.9,20.46,61.9,58.06,-0.00019115,8.1e-06,1.0,3230.182569088504,36.811851995126645,3456.292256444401,56.99748403391653,0.042748180576023004,0.13600584144981412,-0.11263257383408083,3.569488563770213e-05,2704,9730163,3267,69,51,+0.27,0.13,+0.19,0.12,M4V,0.24,0.05,0.26,0.04,118,+0.22,0.14,+0.38,0.15,+0.14,0.17,1635721458409799680,b'Gaia DR2 2085482775729637376',2085482775729637376,401164002,2015.5,298.73633948385464,0.04755652495773918,46.49912360880671,0.06260762167841775,7.833467766364983,0.06105464864859225,128.30257,41.51647433726293,0.10204634554224107,132.17329886388325,0.11089325217676016,0.009699207,-0.07528309,-0.055218734,-0.06947866,0.30363253,-0.145237,-0.31147918,-0.23198055,0.07740349,0.05021297,214,0,213,1,2.3392062,258.67978,0.17635569627777573,1.1203989940761767,31,False,3.5005295,1.245884528072223,0.014662266002112853,0.0072397296,24,15,0.1083268,0,25,False,215,3882.1678114105844,3.8730008899138806,1002.3669,16.71568,22,541.8575907555813,10.533880798036511,51.439503,18.516676,23,5391.1614829093805,17.795511091207963,302.95065,15.432714,1.5282748,0,3.0839615,1.8009968,1.2829647,,,0,,,,b'NOT_AVAILABLE',80.78004111704962,9.390042390015019,321.28895576310174,64.90442523597882,100001,3482.1099,3278.0,4065.0,0.69,0.4749,1.071,0.4288,0.3743,0.6371,-9223372036854775808,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2085482775729637376',b' ',9730163,298.73611,46.498634,127.20125881723,126.213511918194,128.204308031269,1587.9870223001,1.0,1.0,b'2MASS J19545665+4629548',17.475,3157,75.0,-37.0,b'SPE86',5.112,0.076,-0.123,b'PHO54',0.26,0.15,-0.1,b'SPE86',0.18,0.081,-0.027,0.153,0.092,-0.023,b'DSEP',3,3,2,13.542,12.929,12.61,b'conf',0.29571509715582883
2,2131059972237410560,351008193,287.36404,47.78521,0.08,6.63,24.76,45.71,42.29,2.491e-05,7.46e-06,-9999.0,3908.166010754695,38.18155984530983,4013.3088759545203,67.48202075165604,0.03162769441613417,0.15857088701144864,-0.04665183530848037,0.00011145328022671911,4252,10525049,3873,143,93,+0.12,0.14,+0.08,0.12,M0V,0.58,0.05,0.55,0.05,121,-0.15,0.14,+0.25,0.15,+0.05,0.16,1635721458409799680,b'Gaia DR2 2131059972237410560',2131059972237410560,300637154,2015.5,287.3640804203254,0.03347080449263971,47.78530433944394,0.03852312042895732,5.128707278065534,0.0378550812667199,135.48267,4.367518345205051,0.07929312786989924,25.920510403394307,0.08788366725837353,-0.19363625,0.038595073,0.057119444,-0.13778132,0.19006528,-0.1080093,-0.056512117,0.1185528,-0.15335117,-0.25463787,203,0,202,1,18.808914,854.0864,0.3308730591938086,25.095839961196788,31,False,7.7492137,1.3778598010514957,0.008969750466413672,0.028589748,23,16,0.09564052,0,27,False,238,50771.25060115974,15.550408445070197,3264.9465,13.924321,25,15358.862435120058,22.17472246087067,692.6293,14.88549,26,52633.35443676798,74.68507412451365,704.73724,12.958767,1.3391874,0,1.9267235,0.96116924,0.96555424,,,0,,,,b'NOT_AVAILABLE',78.49855725049936,16.90289245476405,304.31777173530736,69.164789995289,100001,3925.6868,3804.0,4192.69,,,,,,,200111,0.79001236,0.69259554,0.8413645,0.13354422,0.13127176,0.13581668,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2131059972237410560',b' ',10525049,287.36404,47.78521,193.903031416873,192.479348057438,195.347551413522,823.842198784129,1.0,1.0,b'2MASS J19092737+4747067',13.977,3872,77.0,-84.0,b'SPE70',4.714,0.027,-0.03,b'PHO2',0.12,0.15,-0.15,b'SPE70',0.557,0.033,-0.033,0.585,0.028,-0.038,b'DSEP',0,1,1,11.706,11.016,10.871,b'cand',0.06904094916066174
3,2129928884010551936,354211181,291.09274,49.19006,0.73,12.45,36.1,73.36,58.29,-0.00013234,9.31e-06,-9999.0,3794.6262773080325,36.811851995126645,3849.660081565615,51.85299593952946,-0.1034047505233271,0.12479879623382387,-0.054462595072887976,3.8323385847216054e-05,2090,11348997,3889,405,119,+0.32,0.15,+0.22,0.14,M0V,0.60,0.08,0.57,0.08,217,+0.24,0.14,+0.39,0.18,+0.22,0.20,1635721458409799680,b'Gaia DR2 2129928884010551936',2129928884010551936,984770764,2015.5,291.092650933483,0.03745592771035906,49.19017292447745,0.055609652884406606,3.8277243447755054,0.0370973761059358,103.18046,-15.61909501522992,0.08071229734542835,24.00746183898714,0.10477794185095436,-0.48397857,-0.09165002,-0.4833923,0.42871413,0.019699972,0.43143687,-0.7135453,-0.11889765,0.1459929,-0.42679793,184,0,184,0,3.3972588,250.44551,0.1597513852608775,2.253877499251839,31,False,9.52919,1.3658889341305558,0.010673094609005113,0.02535686,21,12,0.1280294,0,24,False,196,10866.156736420962,5.8714162801667875,1850.6875,15.598176,23,2921.67729375918,13.789023336716232,211.88428,16.687307,22,11978.991111296551,23.62841925999545,506.97388,14.565869,1.3712915,0,2.121438,1.0891314,1.0323067,,,0,,,,b'NOT_AVAILABLE',80.84976278031782,15.178833038832558,312.3114640737721,69.54976541136168,100001,4107.855,3718.3425,4319.14,0.477,0.4154,0.7671,0.2597,0.2224,0.5016,-9223372036854775808,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2129928884010551936',b' ',11348997,291.09274,49.19006,259.328071956281,256.838069958477,261.865948028973,850.644326399784,1.0,1.0,b'2MASS J19242225+4911242',15.535,3879,77.0,-77.0,b'SPE70',4.707,0.018,-0.036,b'SPE60',0.32,0.15,-0.15,b'SPE70',0.578,0.032,-0.027,0.619,0.023,-0.035,b'DSEP',1,1,1,13.255,12.627,12.386,b'conf',0.04736194700788268
4,2107607354856794880,354402154,283.74069,47.516289,2.09,24.72,80.26,154.48,136.61,-8.22e-05,8.96e-06,-9999.0,3787.802201555748,36.21093364513533,3859.054918657873,34.250343290394994,-0.14492056782971718,0.08560020592570809,0.008478921557733495,3.115773522455178e-05,596,10388286,3670,47,62,+0.01,0.13,+0.00,0.12,M1V,0.49,0.04,0.46,0.04,117,+0.30,0.13,+0.13,0.12,+0.08,0.12,1635721458409799680,b'Gaia DR2 2107607354856794880',2107607354856794880,170332762,2015.5,283.74072467486616,0.028414167833063334,47.51612374853585,0.028829132660233764,5.739854161950612,0.031379163552827154,182.91928,-0.00411782354807233,0.06365960960639344,-37.65934504935613,0.05834648890138599,-0.29597446,-0.3923518,0.21149938,0.053648304,0.26597923,-0.06622171,-0.19397566,-0.28614312,-0.049553912,-0.10470604,173,0,172,1,3.151762,230.64896,0.1337446091343928,2.6234806634216223,31,False,18.253204,1.377110525177012,0.007345061192956146,-0.029749589,20,15,0.069122985,0,22,False,184,22094.279730433682,14.813888144060448,1491.4572,14.827666,20,6047.700928783839,26.472846684631136,228.4492,15.897412,21,24229.23475352808,49.02759008713585,494.19592,13.801071,1.3703518,0,2.0963411,1.069746,1.0265951,,,0,,,,b'NOT_AVAILABLE',77.32188453361354,19.088517865272554,297.4695482475459,69.64841562936782,100001,3683.0,3658.0,4079.73,0.021,0.0057,0.4441,0.027,0.0026,0.2067,200111,0.57485795,0.46849087,0.58274233,0.054780077,0.054060243,0.05549991,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2107607354856794880',b' ',10388286,283.74069,47.516289,173.3538284734,172.408826400704,174.309060630126,823.931613198186,1.0,1.0,b'2MASS J18545777+4730586',14.818,3669,73.0,-91.0,b'SPE70',4.787,0.054,-0.041,b'SPE60',0.0,0.15,-0.15,b'SPE70',0.47,0.041,-0.051,0.494,0.039,-0.054,b'DSEP',1,1,1,12.437,11.802,11.573,b'conf',0.08510947788004823
5,2129686991453013248,354614060,292.76993,48.89962,0.28,5.78,24.52,51.49,44.46,-0.00020288,6.79e-06,-9999.0,4046.1759320427395,38.18155984530983,4066.9265859226507,63.15239043815087,-0.4077366743536822,0.14929427854140653,0.16772088596987614,0.0005533027535072572,2329,11192235,3823,184,61,-0.28,0.15,-0.20,0.14,M1V,0.51,0.05,0.49,0.05,132,-0.09,0.14,+0.12,0.16,-0.12,0.17,1635721458409799680,b'Gaia DR2 2129686991453013248',2129686991453013248,1077482421,2015.5,292.77000717619495,0.02444465897581501,48.89984693263276,0.02932164988419864,2.9391988884812457,0.027599419435567287,106.49496,12.197731439545029,0.05564209024642568,48.40721781596429,0.05696987989637449,-0.10287091,-0.114369586,-0.17859602,0.015072704,0.20034744,-0.013353849,-0.37556034,-0.08541831,-0.06460161,-0.09093864,266,0,263,3,1.9926561,305.21686,0.11979921512595007,1.4756301679307802,31,False,10.307594,1.397444015214691,0.00780632733097872,0.03987396,30,17,0.06525028,0,32,False,281,10214.003891110582,4.742801575556997,2153.5803,15.665376,30,3196.936715198789,12.300637769757618,259.9001,16.589554,30,10427.799967628762,13.466669365083817,774.34143,14.716438,1.3339272,0,1.8731155,0.9241781,0.9489374,,,0,,,,b'NOT_AVAILABLE',81.052647549941,14.058798043776958,314.781166075514,68.82633238514732,100001,3900.0,3825.6667,4058.365,0.4763,0.103,0.955,0.251,0.0733,0.4671,200111,0.6319296,0.58357364,0.6567251,0.08323202,0.08129523,0.085168816,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2129686991453013248',b' ',11192235,292.76993,48.89962,336.95218773781,333.823756913086,340.138742644101,914.68263347531,1.0,1.0,b'2MASS J19310478+4853586',15.655,3821,76.0,-84.0,b'SPE70',4.755,0.056,-0.028,b'SPE60',-0.28,0.15,-0.15,b'SPE70',0.486,0.034,-0.047,0.49,0.04,-0.04,b'DSEP',0,1,1,13.491,12.84,12.674,b'cand',0.06695420743425051
6,2131059628640021120,574702224,287.3467808,47.7729314,4.71,53.44,126.11,190.4,159.14,-6.731e-05,6.14e-06,0.0,3990.8484602892618,36.21093364513533,4035.5442351207957,30.48605966821301,-0.20512693025666928,0.07700302983637769,-3.373583436862282e-05,4.327064899068741e-05,2006,10525027,3756,87,78,+0.01,0.14,+0.01,0.13,M1V,0.52,0.04,0.49,0.04,114,-0.03,0.15,-0.02,0.17,-0.01,0.15,1635721458409799680,b'Gaia DR2 2131059628640021120',2131059628640021120,1605537892,2015.5,287.3469566759918,0.014375637323458354,47.772907807504005,0.015728251382675126,6.143678016684453,0.015995782170117167,384.08112,28.176405776849634,0.03338277607727332,-5.033785360760376,0.03420912760825239,-0.1691571,-0.04050596,-0.07945646,-0.04099592,0.24256387,-0.02999252,-0.1638706,0.079455994,-0.12025639,-0.153511,218,0,216,2,-0.29666746,204.31096,0.0,0.0,31,False,51.734425,1.4067146553854344,0.0038638251194791666,0.07480601,25,17,0.04668909,0,29,False,251,41019.615657421986,13.302673743264954,3083.5618,14.155887,29,12928.108135005788,23.38457669922506,552.84766,15.072551,29,41452.78487998975,58.71000291326652,706.06,13.218036,1.325729,0,1.8545151,0.9166641,0.93785095,,,0,,,,b'NOT_AVAILABLE',78.48204130237674,16.908923691820142,304.2756549916657,69.15694145517318,100001,4123.403,3908.8098,4341.63,0.0112,0.0,0.0896,0.004,0.0,0.0271,200111,0.5047875,0.4553177,0.56173444,0.06636437,0.06585827,0.06687047,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2131059628640021120',b' ',10525027,287.34674,47.772961,162.006200175587,161.584304274537,162.430265642988,823.897765178654,1.0,1.0,b'2MASS J19092321+4746226',14.22,3758,75.0,-85.0,b'SPE70',4.769,0.04,-0.04,b'SPE60',0.0,0.15,-0.15,b'SPE70',0.496,0.042,-0.042,0.528,0.034,-0.046,b'DSEP',1,1,1,11.971,11.348,11.18,b'conf',0.14329068080807902
7,2103377980301947264,576403143,285.01309,40.220749,3.12,41.98,90.18,186.44,174.87,-8.461e-05,7.29e-06,-9999.0,3711.5491413825507,36.21093364513533,3826.413007440744,30.844986998259913,0.014053169250693888,0.07782676841626858,-0.03983156171382925,2.9312530802301598e-05,1843,5080636,3705,34,83,+0.27,0.13,+0.19,0.13,M1V,0.54,0.04,0.51,0.03,151,+0.39,0.13,+0.52,0.15,+0.31,0.14,1635721458409799680,b'Gaia DR2 2103377980301947264',2103377980301947264,382321022,2015.5,285.0131082060193,0.02012638655423648,40.220954710217185,0.023315433562140758,7.4165623741843945,0.02451168134515691,302.57257,0.6905379245162084,0.044847165259292714,41.18654656302557,0.047103571302803564,-0.039494444,-0.044407047,-0.17098075,-0.04344457,0.23501772,-0.06853015,-0.14071308,-0.07216965,-0.10601793,-0.024554012,241,0,241,0,7.931078,452.6138,0.1803313447771367,6.861201028199412,31,False,17.116028,1.3675639785253648,0.006868565673271875,-0.02185364,27,17,0.05314644,0,29,False,258,32382.057212186544,14.392859218657879,2249.8696,14.412604,27,8249.553965766312,28.543343401744146,289.0185,15.560312,27,36640.89104219232,52.85832450269886,693.19055,13.352005,1.3862753,0,2.2083073,1.1477079,1.0605993,,,0,,,,b'NOT_AVAILABLE',70.54027198743341,15.599320475981196,295.22891836688484,62.35154692100401,100001,3712.08,3565.0,4127.825,,,,,,,200111,0.5248133,0.42442104,0.5690107,0.047116574,0.046717685,0.047515463,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2103377980301947264',b' ',5080636,285.01309,40.220749,134.310874416612,133.866823030031,134.757828841115,864.461628999339,1.0,1.0,b'2MASS J19000314+4013147',14.404,3706,73.0,-92.0,b'SPE70',4.747,0.033,-0.033,b'SPE60',0.26,0.15,-0.15,b'SPE70',0.522,0.032,-0.039,0.555,0.027,-0.044,b'DSEP',1,2,3,11.951,11.279,11.056,b'conf',0.10947842778487825
8,2103822075621468672,576415092,285.08655,40.898998,0.26,3.38,19.59,34.24,24.53,-6.555e-05,1.449e-05,0.0,3916.1505554877663,38.18155984530983,3952.314784257744,79.2622811389718,-0.22158285416974735,0.1835479048056112,0.03360852744241455,0.00041527913368715456,2191,5601258,3870,95,91,+0.10,0.13,+0.07,0.13,M0V,0.57,0.04,0.54,0.04,190,+0.33,0.13,+0.44,0.13,+0.20,0.15,1635721458409799680,b'Gaia DR2 2103822075621468672',2103822075621468672,1654656766,2015.5,285.0865386541389,0.020218425283349672,40.89905058178014,0.02695185244020701,4.483092643836869,0.02518727628509423,177.99037,1.490994865725202,0.044447669828634,6.702618396803947,0.050567315995930846,-0.0837428,0.04532183,-0.19350395,0.020411992,0.31231588,-0.023477342,-0.46310923,-0.049951367,-0.034128807,-0.01762836,221,0,220,1,2.726012,275.8387,0.0978927211930813,1.496361014386661,31,False,20.130707,1.3941174306904611,0.007431636929704569,0.121801175,25,16,0.059218258,0,28,False,248,20755.596622328212,7.825880493127153,2652.174,14.895528,24,6136.593189961142,24.45272466355571,250.95744,15.88157,25,21906.40427082277,25.41605428411099,861.9121,13.910492,1.3511053,0,1.9710779,0.986042,0.9850359,,,0,,,,b'NOT_AVAILABLE',71.21318339780636,15.807377788698568,295.6797849641415,62.99969761153761,100001,3724.0,3696.3333,4015.7998,0.5583,0.133,0.8713,0.2835,0.0425,0.4208,200111,0.68779093,0.5914686,0.69812554,0.08196836,0.080798775,0.083137944,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2103822075621468672',b' ',5601258,285.08655,40.898998,221.63869016957,220.39893552281,222.892219937743,860.752937926377,1.0,1.0,b'2MASS J19002077+4053563',14.911,3867,77.0,-84.0,b'SPE70',4.718,0.027,-0.033,b'SPE60',0.1,0.15,-0.15,b'SPE70',0.552,0.033,-0.033,0.581,0.028,-0.038,b'DSEP',0,1,1,12.656,11.962,11.811,b'cand',0.10103495971487457
